SID,Date,category,name,value,item,tdif,delta_value
882,2015-11-29T21:12:00Z,pers,A,7.5,A,3.716666666666667,0.6726457399103138
882,2015-11-30T00:55:00Z,pers,A,10,A,3.6,0
882,2015-11-30T04:31:00Z,pers,A,10,A,13.7,-0.2737226277372263
882,2015-11-30T18:13:00Z,pers,A,6.25,A,3.8833333333333333,0.3218884120171674
882,2015-11-30T22:06:00Z,pers,A,7.5,A,3.066666666666667,0.4076086956521739
882,2015-12-02T04:05:00Z,pers,A,7.5,A,14.033333333333333,0
882,2015-12-02T18:07:00Z,pers,A,7.5,A,3.033333333333333,0
882,2015-12-02T21:09:00Z,pers,A,7.5,A,3.4166666666666665,0.7317073170731707
882,2015-12-03T00:34:00Z,pers,A,10,A,23.466666666666665,0
882,2015-12-04T00:02:00Z,pers,A,10,A,4.216666666666667,0
882,2015-12-04T04:15:00Z,pers,A,10,A,13.783333333333333,0
882,2015-12-04T18:02:00Z,pers,A,10,A,3.05,-0.819672131147541
882,2015-12-04T21:05:00Z,pers,A,7.5,A,7.1,0.35211267605633806
882,2015-12-05T04:11:00Z,pers,A,10,A,15.233333333333333,0
882,2015-12-05T19:25:00Z,pers,A,10,A,1.9333333333333333,0
882,2015-12-05T21:21:00Z,pers,A,10,A,21.216666666666665,0
882,2015-12-07T21:26:00Z,pers,A,5,A,2.6166666666666667,0.9554140127388535
882,2015-12-08T00:03:00Z,pers,A,7.5,A,4.4,0.5681818181818181
882,2015-12-08T04:27:00Z,pers,A,10,A,14.416666666666666,0
882,2015-12-08T18:52:00Z,pers,A,10,A,5.366666666666666,0
882,2015-12-09T00:14:00Z,pers,A,10,A,17.783333333333335,-0.14058106841611995
882,2015-12-09T18:01:00Z,pers,A,7.5,A,3.066666666666667,0
882,2015-12-09T21:05:00Z,pers,A,7.5,A,3.216666666666667,-0.38860103626943004
882,2015-12-10T00:18:00Z,pers,A,6.25,A,4.45,-0.28089887640449435
882,2015-12-10T04:45:00Z,pers,A,5,A,16.333333333333332,0.15306122448979592
882,2015-12-10T21:05:00Z,pers,A,7.5,A,2.9166666666666665,0.4285714285714286
882,2015-12-11T00:00:00Z,pers,A,8.75,A,3.3333333333333335,-0.375
882,2015-12-11T03:20:00Z,pers,A,7.5,A,17.866666666666667,-0.06996268656716417
882,2015-12-11T21:12:00Z,pers,A,6.25,A,5.9,0.635593220338983
882,2015-12-12T03:06:00Z,pers,A,10,A,21.866666666666667,0
882,2015-12-13T00:58:00Z,pers,A,10,A,3.0166666666666666,0
882,2015-12-13T03:59:00Z,pers,A,10,A,15.733333333333333,-0.07944915254237289
882,2015-12-13T19:43:00Z,pers,A,8.75,A,22.45,-0.0556792873051225
882,2015-12-14T18:10:00Z,pers,A,7.5,A,7.55,0
882,2015-12-17T03:05:00Z,pers,A,10,A,15.55,-0.1607717041800643
882,2015-12-17T18:38:00Z,pers,A,7.5,A,8.6,0.14534883720930233
882,2015-12-19T18:38:00Z,pers,A,10,A,5.5,-0.22727272727272727
882,2015-12-20T00:08:00Z,pers,A,8.75,A,3.783333333333333,-0.3303964757709251
882,2015-12-20T03:55:00Z,pers,A,7.5,A,23.116666666666667,0
882,2015-12-21T03:02:00Z,pers,A,7.5,A,18.65,0
882,2015-12-21T21:41:00Z,pers,A,7.5,A,5.416666666666667,0
882,2015-12-22T03:06:00Z,pers,A,7.5,A,15.633333333333333,0.07995735607675906
882,2015-12-22T18:44:00Z,pers,A,8.75,A,8.283333333333333,0
882,2015-12-24T04:07:00Z,pers,A,7.5,A,14.133333333333333,0.0884433962264151
882,2015-12-24T18:15:00Z,pers,A,8.75,A,23.75,0
882,2015-12-25T18:00:00Z,pers,A,8.75,A,6.1,0
882,2015-12-26T00:06:00Z,pers,A,8.75,A,18.45,-0.13550135501355015
882,2015-12-26T18:33:00Z,pers,A,6.25,A,5.95,0.42016806722689076
882,2015-12-27T00:30:00Z,pers,A,8.75,A,3.6166666666666667,-0.3456221198156682
882,2015-12-27T04:07:00Z,pers,A,7.5,A,16.95,0
882,2015-12-27T21:04:00Z,pers,A,7.5,A,23.966666666666665,-0.052155771905424204
882,2015-12-30T03:57:00Z,pers,A,10,A,14.066666666666666,-0.4443127962085308
882,2015-12-30T18:01:00Z,pers,A,3.75,A,9.983333333333333,0.6260434056761269
882,2015-12-31T04:00:00Z,pers,A,10,A,NA,NA
882,2015-11-13T18:29:00Z,pers,A,0,kind,10.266666666666667,0.24350649350649348
882,2015-11-14T04:45:00Z,pers,A,2.5,kind,13.316666666666666,0.5632040050062578
882,2015-11-14T18:04:00Z,pers,A,10,kind,23.95,-0.10438413361169102
882,2015-11-15T18:01:00Z,pers,A,7.5,kind,7.033333333333333,0.35545023696682465
882,2015-11-16T01:03:00Z,pers,A,10,kind,16.95,-0.14749262536873156
882,2015-11-17T19:43:00Z,pers,A,10,kind,1.3,0
882,2015-11-17T21:01:00Z,pers,A,10,kind,5.166666666666667,0
882,2015-11-18T02:11:00Z,pers,A,10,kind,1.1166666666666667,0
882,2015-11-18T03:18:00Z,pers,A,10,kind,15.683333333333334,0
882,2015-11-18T18:59:00Z,pers,A,10,kind,3.05,-0.819672131147541
882,2015-11-18T22:02:00Z,pers,A,7.5,kind,2.9,0.8620689655172414
882,2015-11-19T00:56:00Z,pers,A,10,kind,17.166666666666668,0
882,2015-11-19T18:06:00Z,pers,A,10,kind,5.966666666666667,-0.41899441340782123
882,2015-11-20T00:04:00Z,pers,A,7.5,kind,23.95,0
882,2015-11-21T00:01:00Z,pers,A,7.5,kind,3.3,0.7575757575757576
882,2015-11-21T03:19:00Z,pers,A,10,kind,15.966666666666667,-0.15657620041753653
882,2015-11-21T19:17:00Z,pers,A,7.5,kind,4.883333333333334,0
882,2015-11-22T00:10:00Z,pers,A,7.5,kind,3.1166666666666667,0.8021390374331551
882,2015-11-22T03:17:00Z,pers,A,10,kind,20.833333333333332,-0.12000000000000001
882,2015-11-23T00:07:00Z,pers,A,7.5,kind,3.7333333333333334,0.6696428571428571
882,2015-11-23T03:51:00Z,pers,A,10,kind,15.45,-0.16181229773462785
882,2015-11-23T19:18:00Z,pers,A,7.5,kind,2.25,1.1111111111111112
882,2015-11-23T21:33:00Z,pers,A,10,kind,3.25,0
882,2015-11-24T00:48:00Z,pers,A,10,kind,19.083333333333332,0
882,2015-11-25T20:36:00Z,pers,A,7.5,kind,1.2833333333333334,0
882,2015-11-25T21:53:00Z,pers,A,7.5,kind,5.366666666666666,0
882,2015-11-28T03:15:00Z,pers,A,10,kind,16.233333333333334,-0.15400410677618068
882,2015-11-28T19:29:00Z,pers,A,7.5,kind,23.3,0.1072961373390558
